date,open,high,low,close,volume
2020-06-25,117.94,117.95,117.8,117.87,4723348.0
2020-06-26,117.99,118.08,117.85,118.01,5683422.0
2020-06-29,118.01,118.11,117.95,118.11,3517292.0
2020-06-30,118.28,118.32,117.98,118.21,7451090.0
2020-07-01,117.9,118.07,117.76,118.05,6746893.0
2020-07-02,118.05,118.21,117.99,118.19,3614296.0
2020-07-06,118.18,118.21,118.0,118.18,5945100.0
2020-07-07,118.23,118.38,118.06,118.36,5454700.0
2020-07-08,118.35,118.45,118.22,118.32,5026777.0
2020-07-09,118.4,118.7,118.36,118.63,3804216.0
2020-07-10,118.83,118.83,118.45,118.49,3133855.0
2020-07-13,118.46,118.53,118.37,118.48,4803817.0
2020-07-14,118.58,118.74,118.58,118.67,3986720.0
2020-07-15,118.5,118.7,118.5,118.68,3403614.0
2020-07-16,118.83,118.89,118.74,118.76,3530270.0
2020-07-17,118.94,118.99,118.77,118.88,2548474.0
2020-07-20,119.03,119.06,118.91,119.01,3989211.0
2020-07-21,119.1,119.1,119.01,119.08,6098688.0
2020-07-22,119.22,119.27,119.11,119.18,6296788.0
2020-07-23,119.35,119.39,119.2517,119.32,12117179.0
2020-07-24,119.26,119.41,119.19,119.28,11071680.0
2020-07-27,119.4,119.42,119.15,119.2,5606050.0
2020-07-28,119.3,119.35,119.22,119.28,6080801.0
2020-07-29,119.3,119.4299,119.24,119.42,9727968.0
2020-07-30,119.51,119.54,119.4533,119.51,3052829.0
2020-07-31,119.45,119.63,119.4,119.56,5277863.0
2020-08-03,119.37,119.4,119.1903,119.4,13013685.0
2020-08-04,119.42,119.63,119.42,119.63,10935154.0
2020-08-05,119.39,119.49,119.31,119.4,17346073.0
2020-08-06,119.62,119.73,119.53,119.57,4608710.0
2020-08-07,119.66,119.73,119.395,119.43,5559066.0
2020-08-10,119.62,119.635,119.28,119.32,5152700.0
2020-08-11,119.11,119.21,118.84,118.99,7809897.0
2020-08-12,118.73,118.89,118.65,118.75,5524629.0
2020-08-13,118.78,118.78,118.24,118.31,8023792.0
2020-08-14,118.43,118.49,118.2,118.2,4556476.0
2020-08-17,118.38,118.47,118.305,118.36,3947083.0
2020-08-18,118.4279,118.6,118.42,118.53,4765813.0
2020-08-19,118.65,118.7,118.34,118.35,4540992.0
2020-08-20,118.58,118.71,118.56,118.56,4487506.0
2020-08-21,118.74,118.76,118.55,118.68,6373275.0
2020-08-24,118.72,118.82,118.6,118.63,4620863.0
2020-08-25,118.35,118.46,118.182,118.38,4002330.0
2020-08-26,118.35,118.4199,118.21,118.36,5139794.0
2020-08-27,118.55,118.56,117.95,117.95,5609698.0
2020-08-28,118.08,118.16,117.99,118.11,6467365.0
2020-08-31,118.14,118.51,118.14,118.37,10894506.0
2020-09-01,118.12,118.44,118.0,118.42,9844234.0
2020-09-02,118.42,118.71,118.34,118.66,4838532.0
2020-09-03,118.73,118.87,118.62,118.69,6856734.0
2020-09-04,118.41,118.52,118.08,118.1,5366819.0
2020-09-08,118.34,118.46,118.2,118.23,8894007.0
2020-09-09,118.39,118.39,118.04,118.22,7824768.0
2020-09-10,118.15,118.29,118.015,118.23,4932623.0
2020-09-11,118.42,118.49,118.24,118.37,8200474.0
2020-09-14,118.47,118.49,118.31,118.38,6394336.0
2020-09-15,118.29,118.425,118.29,118.39,4163037.0
2020-09-16,118.53,118.53,118.2,118.33,6452562.0
2020-09-17,118.5,118.52,118.33,118.36,4882182.0
2020-09-18,118.44,118.44,118.18,118.22,5149369.0
2020-09-21,118.41,118.42,118.24,118.24,6191910.0
2020-09-22,118.25,118.38,118.2433,118.33,4390186.0
2020-09-23,118.35,118.35,118.07,118.08,5392884.0
2020-09-24,118.01,118.16,118.01,118.09,4145039.0
2020-09-25,118.12,118.17,118.05,118.13,5138241.0
2020-09-28,118.18,118.23,118.11,118.23,5830389.0
2020-09-29,118.28,118.33,118.21,118.25,5301718.0
2020-09-30,118.26,118.26,117.9516,118.06,6090816.0
2020-10-01,117.81,118.04,117.75,118.02,9741805.0
2020-10-02,118.03,118.04,117.81,117.9,5599555.0
2020-10-05,117.74,117.74,117.52,117.52,4890812.0
2020-10-06,117.6,117.84,117.49,117.62,4338717.0
2020-10-07,117.53,117.66,117.4515,117.54,4801667.0
2020-10-08,117.67,117.71,117.59,117.69,4235989.0
2020-10-09,117.65,117.74,117.5,117.72,2909311.0
2020-10-12,117.85,117.95,117.77,117.95,2999269.0
2020-10-13,118.01,118.07,117.9294,117.98,3421737.0
2020-10-14,118.1,118.11,117.985,118.05,4919727.0
2020-10-15,118.15,118.15,117.95,117.95,5459197.0
2020-10-16,117.99,118.0778,117.88,117.89,3933279.0
2020-10-19,117.81,117.87,117.72,117.75,4685033.0
2020-10-20,117.7,117.71,117.58,117.65,4013620.0
2020-10-21,117.59,117.64,117.48,117.51,3688494.0
2020-10-22,117.51,117.54,117.3,117.3,4801011.0
2020-10-23,117.3,117.52,117.3,117.47,3878745.0
2020-10-26,117.65,117.72,117.59,117.63,4962531.0
2020-10-27,117.8,117.91,117.7275,117.9,5694085.0
2020-10-28,117.81,117.955,117.72,117.73,7329242.0
2020-10-29,117.76,117.77,117.4,117.52,11775806.0
2020-10-30,117.45,117.52,117.2,117.2,10610002.0
2020-11-02,117.27,117.35,117.18,117.22,6667902.0
2020-11-03,117.22,117.22,117.05,117.17,6693534.0
2020-11-04,117.9,118.04,117.83,117.95,5308746.0
2020-11-05,118.09,118.12,117.91,118.06,5293955.0
2020-11-06,117.81,117.86,117.6699,117.8,5514452.0
2020-11-09,117.4,117.47,117.06,117.25,6625285.0
2020-11-10,117.05,117.23,117.03,117.06,5146371.0
2020-11-11,117.06,117.18,117.02,117.13,3044345.0
2020-11-12,117.37,117.63,117.33,117.62,7740846.0
2020-11-13,117.52,117.69,117.52,117.64,5126806.0
2020-11-16,117.61,117.67,117.58,117.63,7951487.0
2020-11-17,117.75,117.9,117.75,117.87,4650191.0
2020-11-18,117.95,117.99,117.89,117.95,6191072.0
2020-11-19,118.08,118.26,118.03,118.17,6680775.0
2020-11-20,118.19,118.34,118.13,118.29,7217433.0
2020-11-23,118.28,118.3,118.1734,118.26,4739119.0
2020-11-24,118.24,118.28,118.07,118.1,4696823.0
2020-11-25,118.15,118.21,118.02,118.06,4125185.0
2020-11-27,118.25,118.285,118.22,118.26,3436221.0
2020-11-30,118.32,118.45,118.25,118.42,8688562.0
2020-12-01,118.03,118.1,117.73,117.84,5100037.0
2020-12-02,117.81,117.81,117.54,117.71,6120981.0
2020-12-03,117.92,117.98,117.765,117.91,5198437.0
2020-12-04,117.9,117.9,117.5133,117.59,5896088.0
2020-12-07,117.76,117.8262,117.69,117.77,6127835.0
2020-12-08,117.88,117.9597,117.75,117.78,6807000.0
2020-12-09,117.73,117.78,117.5172,117.61,6975697.0
2020-12-10,117.74,117.93,117.69,117.9,6192273.0
2020-12-11,118.01,118.09,117.95,118.03,5636060.0
2020-12-14,117.86,118.025,117.7969,117.96,4705572.0
2020-12-15,117.95,118.03,117.9,118.03,4217872.0
2020-12-16,117.83,118.033,117.761,117.98,4467913.0
2020-12-17,118.01,118.06,117.7299,117.85,6610627.0
2020-12-18,117.97,117.97,117.76,117.79,3874807.0
2020-12-21,117.92,117.96,117.75,117.79,4818305.0
2020-12-22,117.88,117.98,117.825,117.96,4516554.0
2020-12-23,117.81,117.88,117.63,117.88,4157735.0
2020-12-24,117.94,118.046,117.925,117.99,2214487.0
2020-12-28,117.97,118.045,117.833,118.01,4558605.0
2020-12-29,118.06,118.06,117.92,118.03,4295691.0
2020-12-30,118.09,118.12,117.9815,118.1,2762258.0
2020-12-31,118.18,118.24,118.12,118.19,4834717.0
2021-01-04,118.08,118.14,117.985,118.04,6414050.0
2021-01-05,118.06,118.06,117.75,117.92,7477903.0
2021-01-06,117.9,117.9,117.15,117.34,10680792.0
2021-01-07,117.13,117.26,117.0667,117.22,6639609.0
2021-01-08,117.18,117.3428,116.98,117.08,7335700.0
2021-01-11,117.02,117.05,116.89,116.89,8610105.0
2021-01-12,116.82,116.99,116.68,116.99,7268716.0
2021-01-13,117.63,117.63,117.08,117.36,6788521.0
2021-01-14,117.37,117.45,117.08,117.13,6610456.0
2021-01-15,117.34,117.36,117.18,117.25,6447838.0
2021-01-19,117.27,117.42,117.22,117.41,7601121.0
2021-01-20,117.35,117.43,117.31,117.42,6229268.0
2021-01-21,117.22,117.2985,117.14,117.25,8301326.0
2021-01-22,117.29,117.32,117.19,117.25,3513742.0
2021-01-25,117.39,117.56,117.36,117.55,4049029.0
2021-01-26,117.46,117.585,117.4255,117.51,3639521.0
2021-01-27,117.61,117.67,117.04,117.52,3619105.0
2021-01-28,117.48,117.49,117.29,117.44,6176611.0
2021-01-29,117.1563,117.4,116.5625,117.31,12164830.0
2021-02-01,117.2,117.26,117.0915,117.23,6621900.0
2021-02-02,116.99,117.09,116.97,117.05,5187386.0
2021-02-03,116.97,116.99,116.87,116.91,5492357.0
2021-02-04,116.75,116.89,116.69,116.86,5287405.0
2021-02-05,116.91,116.96,116.7,116.71,3446584.0
2021-02-08,116.75,116.9285,116.72,116.83,4704165.0
2021-02-09,116.94,116.97,116.8215,116.88,4532466.0
2021-02-10,116.97,117.01,116.92,116.99,4296144.0
2021-02-11,117.03,117.03,116.8,116.85,3470842.0
2021-02-12,116.67,116.74,116.5418,116.58,3284934.0
2021-02-16,116.22,116.23,116.02,116.03,5682753.0
2021-02-17,116.22,116.29,116.145,116.26,6304064.0
2021-02-18,116.14,116.28,116.03,116.2,5333967.0
2021-02-19,116.0187,116.06,115.7515,115.84,4673220.0
2021-02-22,115.76,115.8662,115.48,115.48,4882621.0
2021-02-23,115.75,115.75,115.27,115.51,6035405.0
2021-02-24,115.06,115.5,115.01,115.47,6232271.0
2021-02-25,115.01,115.29,114.2,114.41,14922874.0
2021-02-26,114.96,115.39,114.5915,115.34,10930358.0
2021-03-01,114.97,115.5899,114.89,115.09,13018087.0
2021-03-02,115.04,115.12,114.95,115.11,10111335.0
2021-03-03,114.8,114.83,114.6,114.69,10317490.0
2021-03-04,114.79,114.8,114.26,114.36,5953553.0
2021-03-05,114.17,114.3197,114.05,114.28,8675690.0
2021-03-08,114.2,114.23,113.83,113.83,5639392.0
2021-03-09,114.2,114.31,114.0,114.26,5676798.0
2021-03-10,114.3,114.5,114.275,114.45,6936942.0
2021-03-11,114.47,114.54,114.295,114.44,8827827.0
2021-03-12,113.88,113.91,113.705,113.79,5066976.0
2021-03-15,113.6,114.01,113.6,113.91,5001788.0
2021-03-16,113.97,114.032,113.78,113.87,3991008.0
2021-03-17,113.55,113.9778,113.48,113.86,6229776.0
2021-03-18,113.32,113.55,113.2,113.42,6222247.0
2021-03-19,113.4,113.54,113.33,113.51,4701406.0
2021-03-22,113.7,113.8,113.6022,113.73,5468656.0
2021-03-23,113.89,114.04,113.77,114.02,5525062.0
2021-03-24,113.9,114.2,113.86,114.16,6352692.0
2021-03-25,114.24,114.29,113.99,114.1,5177994.0
2021-03-26,113.91,114.075,113.86,113.91,4333939.0
2021-03-29,113.52,114.0,113.52,113.72,7630810.0
